,Unnamed: 0,Sent,Len,wiki_entities,Manual Annotation,terms_0.6,terms_0.7,terms_0.8,terms_0.9,terms_1.0
10,10,"In practice, fast vehicles usually have significant air drag, and energy lost to air drag rises quickly with speed",19,"['Fasting', 'Vehicle', 'Convention (norm)', 'Statistical significance', 'Aircraft', 'Drag (physics)', 'Energy', 'Sunrise', 'Speed']","Fast vehicle, air drag, energy, speed",[],[],[],"['Drag (physics)', 'Energy']","['Fasting', 'Vehicle', 'Convention (norm)', 'Statistical significance', 'Aircraft', 'Drag (physics)', 'Energy', 'Sunrise', 'Speed']"
11,11,Almost all wheeled vehicles have a brake of some sort,10,"['Almost', 'Almost all', 'Wheel', 'Vehicle', 'Brake', 'Sort (typesetting)']","wheel, vehicle, Brake",['Brake'],['Brake'],"['Wheel', 'Brake']","['Wheel', 'Brake']","['Almost', 'Almost all', 'Wheel', 'Vehicle', 'Brake', 'Sort (typesetting)']"
12,12,Even baggage carts and shopping carts may have Even baggage carts and shopping carts for use on a moving ramp,20,"['Climate of India', 'Baggage', 'Baggage cart', 'Cart', 'Retail', 'Shopping cart', 'Relocation (personal)', 'Moving walkway', 'Airport apron']","Baggage cart, shopping cart, moving ramp","['Cart', 'Shopping cart']","['Baggage cart', 'Cart', 'Shopping cart']","['Baggage cart', 'Cart', 'Shopping cart']","['Baggage', 'Baggage cart', 'Cart', 'Shopping cart', 'Moving walkway']","['Climate of India', 'Baggage', 'Baggage cart', 'Cart', 'Retail', 'Shopping cart', 'Relocation (personal)', 'Moving walkway', 'Airport apron']"
13,13,Most fixed wing aircraft are fitted with wheel brakes on the undercarriage,12,"['Autodrom Most', 'Fixed-wing aircraft', 'Wing', 'Fitting out', 'Wheel', 'Brake', 'Landing gear']","Wing, Aircraft, Wheel, Brake, undercarriage",['Landing gear'],['Landing gear'],"['Fixed-wing aircraft', 'Landing gear']","['Fixed-wing aircraft', 'Brake', 'Landing gear']","['Autodrom Most', 'Fixed-wing aircraft', 'Wing', 'Fitting out', 'Wheel', 'Brake', 'Landing gear']"
14,14,Some aircraft also feature air brakes designed to reduce Some aircraft speed in flight,14,"['Some (song)', 'Aircraft', 'Guest appearance', 'Railway air brake', 'Reductionism', 'Redox', 'Speed', 'Aerial refueling', 'Flight']","Aircraft, Air Brake, Speed, Flight",['Railway air brake'],['Railway air brake'],"['Aircraft', 'Railway air brake']","['Aircraft', 'Railway air brake', 'Speed']","['Some (song)', 'Aircraft', 'Guest appearance', 'Railway air brake', 'Reductionism', 'Redox', 'Speed', 'Aerial refueling', 'Flight']"
15,15,"Notable examples include gliders and some World War II era aircraft, primarily some fighter aircraft and many dive bombers of the era",22,"['Notability', 'Include directive', 'Glider (aircraft)', 'World War II', 'McCarthyism', 'Fighter aircraft', 'Special member state territories and the European Union', 'Dive bomber', 'Bomber']","Glider, Aircraft, Fighter aircraft, drive bombers",['World War II'],"['World War II', 'Dive bomber']","['World War II', 'Dive bomber']","['World War II', 'Fighter aircraft', 'Dive bomber']","['Notability', 'Include directive', 'Glider (aircraft)', 'World War II', 'McCarthyism', 'Fighter aircraft', 'Special member state territories and the European Union', 'Dive bomber', 'Bomber']"
16,16,These allow the aircraft to maintain a safe speed in a steep descent,13,"['These', 'Aircraft', 'Aircraft maintenance', 'Safety', 'Assured clear distance ahead', 'Speed', 'Grade (slope)']","Aircraft, speed, steep descent",['Aircraft'],"['Aircraft', 'Assured clear distance ahead']","['Aircraft', 'Assured clear distance ahead']","['Aircraft', 'Assured clear distance ahead', 'Speed']","['These', 'Aircraft', 'Aircraft maintenance', 'Safety', 'Assured clear distance ahead', 'Speed', 'Grade (slope)']"
17,17,The Saab B dive bomber and Vought F Corsair fighter used the deployed undercarriage as an air brake,18,"['Saab AB', 'Dive bomber', 'Bomber', 'Vought', 'Fighter aircraft', 'Landing gear', 'Aircraft', 'Air brake (aeronautics)', 'Brake']",,"['Dive bomber', 'Landing gear', 'Air brake (aeronautics)']","['Dive bomber', 'Fighter aircraft', 'Landing gear', 'Air brake (aeronautics)']","['Dive bomber', 'Bomber', 'Fighter aircraft', 'Landing gear', 'Air brake (aeronautics)']","['Dive bomber', 'Bomber', 'Fighter aircraft', 'Landing gear', 'Aircraft', 'Air brake (aeronautics)', 'Brake']","['Saab AB', 'Dive bomber', 'Bomber', 'Vought', 'Fighter aircraft', 'Landing gear', 'Aircraft', 'Air brake (aeronautics)', 'Brake']"
18,18,Friction brakes on automobiles store braking heat in the drum brake or disc brake while braking then conduct braking then to the air gradually,24,"['Friction', 'Brake', 'Disc brake', 'Car', 'Retail', 'Heat', 'Drum brake', 'Thermal conduction', 'Aircraft']","Friction Brake, Automobile, Braking heat, Drum brake, disc brake, ","['Disc brake', 'Drum brake']","['Brake', 'Disc brake', 'Drum brake']","['Brake', 'Disc brake', 'Car', 'Drum brake']","['Friction', 'Brake', 'Disc brake', 'Car', 'Drum brake']","['Friction', 'Brake', 'Disc brake', 'Car', 'Retail', 'Heat', 'Drum brake', 'Thermal conduction', 'Aircraft']"
19,19,When traveling downhill some vehicles can use some vehicles engines to brake,12,"['When (The Kalin Twins song)', 'Travel', 'Downhill (ski competition)', 'Vehicle', 'Canning', 'Engine', 'Brake']","Travel, Downhill, Vehicle, Vehicle Engine, Brake",[],[],['Downhill (ski competition)'],"['Downhill (ski competition)', 'Brake']","['When (The Kalin Twins song)', 'Travel', 'Downhill (ski competition)', 'Vehicle', 'Canning', 'Engine', 'Brake']"
20,20,"When the brake pedal of a modern vehicle with hydraulic brakes is pushed against the master cylinder, ultimately a piston pushes the brake pad against the brake disc which slows the wheel down",33,"['When (Shania Twain song)', 'Brake', 'Disc brake', 'Car controls', 'Vehicle', 'Hydraulic brake', 'Push (professional wrestling)', 'Understeer and oversteer', 'Anthropocentrism', 'Master cylinder', 'Cylinder (engine)', 'Brake pad', 'Wheel', 'Glossary of rail transport terms']","Brake pedal, Modern vehicle, hydraulic brake, master cylinder, piston, Brake pad, Brake disc, Wheel","['Brake', 'Hydraulic brake', 'Brake pad']","['Brake', 'Hydraulic brake', 'Master cylinder', 'Brake pad']","['Brake', 'Disc brake', 'Hydraulic brake', 'Master cylinder', 'Brake pad']","['Brake', 'Disc brake', 'Hydraulic brake', 'Master cylinder', 'Cylinder (engine)', 'Brake pad', 'Wheel']","['When (Shania Twain song)', 'Brake', 'Disc brake', 'Car controls', 'Vehicle', 'Hydraulic brake', 'Push (professional wrestling)', 'Understeer and oversteer', 'Anthropocentrism', 'Master cylinder', 'Cylinder (engine)', 'Brake pad', 'Wheel', 'Glossary of rail transport terms']"
21,21,On the brake drum the brake drum is similar as the cylinder pushes the brake shoes against the drum which also slows the wheel down,25,"['Brake', 'Drum brake', 'Unix-like', 'Cylinder (engine)', 'Push (professional wrestling)', 'Brake shoe', 'Anthropocentrism', 'Wheel', 'Glossary of rail transport terms']","Brake drum, cylinder, brake shoes, drum, wheel",['Drum brake'],"['Drum brake', 'Brake shoe']","['Brake', 'Drum brake', 'Brake shoe']","['Brake', 'Drum brake', 'Brake shoe']","['Brake', 'Drum brake', 'Unix-like', 'Cylinder (engine)', 'Push (professional wrestling)', 'Brake shoe', 'Anthropocentrism', 'Wheel', 'Glossary of rail transport terms']"
22,22,"Brakes may be broadly described as using friction, pumping, or electromagnetics",11,"['Brake', 'Sensu', 'Taxonomy (biology)', 'Regression analysis', 'Friction', 'Pump', 'Electromagnetism']","Brake, Friction, Pump, Electromagntism",['Electromagnetism'],"['Friction', 'Electromagnetism']","['Brake', 'Friction', 'Electromagnetism']","['Brake', 'Friction', 'Electromagnetism']","['Brake', 'Sensu', 'Taxonomy (biology)', 'Regression analysis', 'Friction', 'Pump', 'Electromagnetism']"
23,23,"One brake may use several principles: for example, a pump may pass fluid through an orifice to create friction:",19,"['Brake', 'Principle', 'Propiska in the Soviet Union', '.example', 'Pump', 'Overtaking', 'Fluid', 'Body orifice', 'Creativity', 'Friction']","Brake, Pump, Fluid, Orifice, Friction",['Friction'],"['Pump', 'Friction']","['Pump', 'Fluid', 'Friction']","['Brake', 'Pump', 'Fluid', 'Friction']","['Brake', 'Principle', 'Propiska in the Soviet Union', '.example', 'Pump', 'Overtaking', 'Fluid', 'Body orifice', 'Creativity', 'Friction']"
24,24,"Frictional brakes are most common and can be divided broadly into shoe or pad brakes, using an explicit wear surface, and hydrodynamic brakes, such as parachutes, which use friction in a working fluid and do not explicitly wear",38,"['Brake', 'List of most common surnames in Europe', 'Canning', 'Division (mathematics)', 'Sensu', 'Shoe', 'Brake pad', 'Regression analysis', 'Pornography', 'Wear', 'Fluid dynamics', 'Parachute', 'Friction', 'Working animal', 'Working fluid', 'Tao']","Friction Brake, Shoe, Brake, Pad Brake, Wear Surface, Hydrodynamic Brake, Parachute, Friction, working fluid","['Fluid dynamics', 'Friction', 'Working fluid']","['Brake', 'Fluid dynamics', 'Friction', 'Working fluid']","['Brake', 'Fluid dynamics', 'Friction', 'Working fluid']","['Brake', 'Wear', 'Fluid dynamics', 'Parachute', 'Friction', 'Working fluid']","['Brake', 'List of most common surnames in Europe', 'Canning', 'Division (mathematics)', 'Sensu', 'Shoe', 'Brake pad', 'Regression analysis', 'Pornography', 'Wear', 'Fluid dynamics', 'Parachute', 'Friction', 'Working animal', 'Working fluid', 'Tao']"
25,25,"Typically the term friction brake is used to mean pad/shoe brakes and excludes hydrodynamic brakes, even though hydrodynamic brakes use friction",21,"['Friction', 'Brake', 'Mean', 'Brake pad', 'Brake shoe', 'Fluid dynamics', 'Parity (mathematics)']","Friction Break, Pad Brake, Shoe Brake, Hydrodynamic Brake, Friction",['Friction'],"['Friction', 'Fluid dynamics']","['Friction', 'Fluid dynamics']","['Friction', 'Brake', 'Mean', 'Fluid dynamics']","['Friction', 'Brake', 'Mean', 'Brake pad', 'Brake shoe', 'Fluid dynamics', 'Parity (mathematics)']"
26,26,Friction pad/shoe brakes are often rotating devices with a stationary pad and a rotating wear surface,16,"['Friction', 'Brake pad', 'Shoe', 'Brake', 'Rotation', 'Stationary point', 'Wear']","Friction, Pad brake, Shoe brake, rotating device, stationary pad, rotating wear surface",['Friction'],['Friction'],"['Friction', 'Brake']","['Friction', 'Shoe', 'Brake', 'Rotation']","['Friction', 'Brake pad', 'Shoe', 'Brake', 'Rotation', 'Stationary point', 'Wear']"
27,27,"Common configurations include shoes that contract to rub on the outside of a rotating drum, such as a band brake; a rotating drum with shoes that expand to rub the inside of a drum, commonly called a drum brake,  although other drum configurations are possible; and pads that pinch a rotating disc, commonly called a disc brake",57,"['Common Era', 'Turing machine', 'Include directive', 'Brake shoe', 'Thermal expansion', 'Russian ruble', 'Boxing styles and technique', 'Racing line', 'Rotation', 'Drum brake', 'Musical ensemble', 'Band brake', 'Disc brake', 'Common name', 'Eponym', 'List of possible dwarf planets', 'Brake pad', 'Pinch (plasma physics)']","Common Configuration, Shoe, Rotating Drum, Band brake, Drum, Drum Brake, Drum Configurations, Pad, Rotating Disc, Disc Brake","['Drum brake', 'Disc brake']","['Drum brake', 'Disc brake']","['Drum brake', 'Band brake', 'Disc brake']","['Brake shoe', 'Drum brake', 'Band brake', 'Disc brake', 'Brake pad']","['Common Era', 'Turing machine', 'Include directive', 'Brake shoe', 'Thermal expansion', 'Russian ruble', 'Boxing styles and technique', 'Racing line', 'Rotation', 'Drum brake', 'Musical ensemble', 'Band brake', 'Disc brake', 'Common name', 'Eponym', 'List of possible dwarf planets', 'Brake pad', 'Pinch (plasma physics)']"
28,28,"Other brake configurations are used, but less often",8,"['Brake', 'Computer configuration', 'Less (Unix)']","Brake configuration, Less Often",[],[],[],[],"['Brake', 'Computer configuration', 'Less (Unix)']"
29,29,"For example, PCC trolley brakes include a flat shoe which is clamped to the rail with an electromagnet; the Murphy brake pinches a rotating drum, and the Ausco Lambert disc brake uses a hollow disc two parallel discs with a structural bridge with shoes that sit between the disc surfaces and expand laterally",53,"['Fornax', 'List of motor vehicle deaths in Japan by year', 'PCC streetcar', 'Tram', 'Disc brake', 'Flatboat', 'Brake shoe', 'Clamp (tool)', 'Railroad car', 'Electromagnet', 'Rotation', 'Drum brake', 'Ausco Lambert disc brake', 'Use (law)', 'Valley', 'Bridge', 'Sitting', 'Road surface', 'Thermal expansion', 'Geometric terms of location']","PCC trolley brake, Flat shoe, rail, electromagnet, Murphy brake, rotating drum, Ausco Lambert disc brake, hollow disc, parallel disc, structural bridge, Shoe, Disc surface","['Disc brake', 'Electromagnet', 'Ausco Lambert disc brake']","['PCC streetcar', 'Disc brake', 'Electromagnet', 'Ausco Lambert disc brake']","['PCC streetcar', 'Tram', 'Disc brake', 'Electromagnet', 'Ausco Lambert disc brake']","['PCC streetcar', 'Tram', 'Disc brake', 'Brake shoe', 'Railroad car', 'Electromagnet', 'Drum brake', 'Ausco Lambert disc brake']","['Fornax', 'List of motor vehicle deaths in Japan by year', 'PCC streetcar', 'Tram', 'Disc brake', 'Flatboat', 'Brake shoe', 'Clamp (tool)', 'Railroad car', 'Electromagnet', 'Rotation', 'Drum brake', 'Ausco Lambert disc brake', 'Use (law)', 'Valley', 'Bridge', 'Sitting', 'Road surface', 'Thermal expansion', 'Geometric terms of location']"
30,30,A drum brake is a vehicle brake in which the friction is caused by a set of brake shoes that press against the inner surface of a rotating drum,29,"['Drum brake', 'Brake', 'Vehicle', 'Causality', 'Set (mathematics)', 'Brake shoe', 'Anthropocentrism', 'Inner ear', 'Rotation']","Drum Brake, Vehicle brake, Friction, Brake shoe, Rotating Drum",['Drum brake'],"['Drum brake', 'Brake shoe']","['Drum brake', 'Brake', 'Brake shoe']","['Drum brake', 'Brake', 'Brake shoe']","['Drum brake', 'Brake', 'Vehicle', 'Causality', 'Set (mathematics)', 'Brake shoe', 'Anthropocentrism', 'Inner ear', 'Rotation']"
31,31,The drum is connected to the rotating roadwheel hub,9,"['Drum', 'Connected space', 'Rotation', 'Wheel']","Drum, Rotating roadwheel hub",[],[],['Wheel'],['Wheel'],"['Drum', 'Connected space', 'Rotation', 'Wheel']"
32,32,Drum brakes generally can be found on older car and truck models,12,"['Drum brake', 'Brake', 'Canning', 'Child abandonment', 'Old age', 'Car', 'Truck']","Drum brake, older car, truck model",[],[],['Drum brake'],"['Drum brake', 'Brake']","['Drum brake', 'Brake', 'Canning', 'Child abandonment', 'Old age', 'Car', 'Truck']"
33,33,"However, because of their low production cost, drum brake setups are also installed on the rear of some low cost newer vehicles",22,"['However (song)', 'Low voltage', 'Manufacturing', 'Cost of goods sold', 'Cost', 'Drum brake', 'Brake', 'Racing setup', 'Installation art', 'Rear-engine design', 'No frills', 'Car']","Low production cost, Drum brake, Rear end, Low cost newer vehicle",[],[],['Drum brake'],"['Drum brake', 'Brake', 'Car']","['However (song)', 'Low voltage', 'Manufacturing', 'Cost of goods sold', 'Cost', 'Drum brake', 'Brake', 'Racing setup', 'Installation art', 'Rear-engine design', 'No frills', 'Car']"
34,34,"Compared to modern disc brakes, drum brakes wear out faster due to their tendency to overheat",16,"['New Maradona', 'Disc brake', 'Drum brake', 'Wear', 'Lens speed', 'Impact of the COVID-19 pandemic on the environment', 'Political faction', 'Thermal shock']","Modern Disc Brake, Drum Brake, Overheat",['Disc brake'],['Disc brake'],['Disc brake'],['Disc brake'],"['New Maradona', 'Disc brake', 'Drum brake', 'Wear', 'Lens speed', 'Impact of the COVID-19 pandemic on the environment', 'Political faction', 'Thermal shock']"
35,35,The disc brake is a device for slowing or stopping the rotation of a road wheel,16,"['Disc brake', 'Knockout', 'Rotation', 'Road', 'Wheel']","Disc Brake, Road wheel",[],[],['Disc brake'],"['Disc brake', 'Wheel']","['Disc brake', 'Knockout', 'Rotation', 'Road', 'Wheel']"
36,36,A brake disc or rotor in U,7,['Disc brake'],"Brake, Disc, Rotor",[],[],[],[],['Disc brake']
37,37,S,1,[],,[],[],[],[],[]
38,38,"English, usually made of cast iron or ceramic, is connected to the wheel or the axle",16,"['American English', 'Convention (norm)', 'Cast iron', 'Ceramic', 'Connected space', 'Wheel', 'Axle']","Cast iron, Ceramic, Weehl, Axle",[],['Cast iron'],"['Cast iron', 'Ceramic']","['Cast iron', 'Ceramic', 'Axle']","['American English', 'Convention (norm)', 'Cast iron', 'Ceramic', 'Connected space', 'Wheel', 'Axle']"
39,39,"To stop the wheel, friction material in the form of brake pads mounted in a device called a brake caliper is forced mechanically, hydraulically, pneumatically or electromagnetically against both sides of the disc",33,"['Aperture', 'Wheel', 'Friction', 'Disc brake', 'Brake pad', 'Port', 'Forced conversion', 'Machine', 'Hydraulics', 'Pneumatics', 'Electromagnetism', 'Anthropocentrism', 'Hull (watercraft)']","Wheel, Friction, Brake pad, Brake caliper, Mechanical, Hydraulics, Pneumatics, Electromangetics, Disc","['Disc brake', 'Brake pad', 'Pneumatics']","['Friction', 'Disc brake', 'Brake pad', 'Pneumatics']","['Friction', 'Disc brake', 'Brake pad', 'Hydraulics', 'Pneumatics']","['Wheel', 'Friction', 'Disc brake', 'Brake pad', 'Hydraulics', 'Pneumatics', 'Electromagnetism']","['Aperture', 'Wheel', 'Friction', 'Disc brake', 'Brake pad', 'Port', 'Forced conversion', 'Machine', 'Hydraulics', 'Pneumatics', 'Electromagnetism', 'Anthropocentrism', 'Hull (watercraft)']"
40,40,Friction causes the disc and attached wheel to slow or stop,11,"['Friction', 'Causality', 'Compact disc', 'Upādāna', 'Wheel', 'Spin bowling', 'Aperture']","Friction, Disc, Wheel",[],[],['Friction'],"['Friction', 'Wheel']","['Friction', 'Causality', 'Compact disc', 'Upādāna', 'Wheel', 'Spin bowling', 'Aperture']"
41,41,Pumping brakes are often used where a pump is already part of the machinery,14,"['Pump', 'Brake', 'Machine']","Pumping brake, Pump, Machine",['Pump'],['Pump'],"['Pump', 'Brake']","['Pump', 'Brake']","['Pump', 'Brake', 'Machine']"
42,42,"For example, an internal combustion piston motor can have the fuel supply stopped, and then internal pumping losses of the engine create some braking",24,"['Fornax', 'List of motor vehicle deaths in Japan by year', 'Internal combustion engine', 'Combustion', 'Piston', 'Canning', 'Fuel', 'Racing flags', 'Pump', 'Pure economic loss', 'Creativity', 'Brake']","Internal combustion piston motor, Fuel supply, Internal pumping, Engine, Brake","['Internal combustion engine', 'Combustion']","['Internal combustion engine', 'Combustion']","['Internal combustion engine', 'Combustion', 'Piston']","['Internal combustion engine', 'Combustion', 'Piston', 'Fuel']","['Fornax', 'List of motor vehicle deaths in Japan by year', 'Internal combustion engine', 'Combustion', 'Piston', 'Canning', 'Fuel', 'Racing flags', 'Pump', 'Pure economic loss', 'Creativity', 'Brake']"
43,43,Some engines use a valve override called a Jake brake to greatly increase pumping losses,15,"['Some (song)', 'Internal combustion engine', 'Valve', 'Veto', 'Port', 'Compression release engine brake', 'Brake', 'Monotonic function', 'Pump', 'Capital loss']","Engine, Valve, Jake Brake, Pumping loss",['Compression release engine brake'],"['Internal combustion engine', 'Compression release engine brake']","['Internal combustion engine', 'Compression release engine brake', 'Brake']","['Internal combustion engine', 'Valve', 'Compression release engine brake', 'Brake']","['Some (song)', 'Internal combustion engine', 'Valve', 'Veto', 'Port', 'Compression release engine brake', 'Brake', 'Monotonic function', 'Pump', 'Capital loss']"
44,44,"Pumping brakes can dump energy as heat, or can be regenerative brakes that recharge a pressure reservoir called a hydraulic accumulator",21,"['Pump', 'Brake', 'Landfill', 'Energy', 'Heat', 'Regenerative brake', 'Rechargeable battery', 'Pressure', 'Reservoir', 'Port', 'Hydraulics', 'Hydraulic accumulator']","Pumping brake, Energy, Heat, Regenerative Brake, Pressure reservoir, Hydraulic accumulator",['Hydraulic accumulator'],"['Regenerative brake', 'Hydraulics', 'Hydraulic accumulator']","['Heat', 'Regenerative brake', 'Reservoir', 'Hydraulics', 'Hydraulic accumulator']","['Brake', 'Energy', 'Heat', 'Regenerative brake', 'Reservoir', 'Hydraulics', 'Hydraulic accumulator']","['Pump', 'Brake', 'Landfill', 'Energy', 'Heat', 'Regenerative brake', 'Rechargeable battery', 'Pressure', 'Reservoir', 'Port', 'Hydraulics', 'Hydraulic accumulator']"
