,coocc_term,source_term,target_term,relation,score,count
150,Brake fluid-Bicycle,Brake fluid,Bicycle,is part of,0.9996188879013062,5
4788,Locomotive-Brake,Locomotive,Brake,consists of,0.9996168613433838,2
274,Brake pad-Bicycle,Brake pad,Bicycle,is part of,0.9996150732040404,6
4815,Locomotive-Dynamic braking,Locomotive,Dynamic braking,consists of,0.99960595369339,3
7816,Sensor-Car,Car,Sensor,consists of,0.99960595369339,2
4250,International Organization for Standardization-Brake,Brake,International Organization for Standardization,is part of,0.9996033310890198,5
4588,Lever-Brake,Lever,Brake,is part of,0.9995978474617004,1
12001,Wheel-Rim (wheel),Wheel,Rim (wheel),interacts with,0.9995954632759094,6
3913,Hydraulic fluid-Car,Car,Hydraulic fluid,consists of,0.9995948672294616,5
8343,Steam locomotive-Brake,Brake,Steam locomotive,is part of,0.9995943903923036,2
9914,Truck-Motor oil,Truck,Motor oil,consists of,0.9995939135551452,1
369,Brake pad-Brake,Brake pad,Brake,is part of,0.9995864033699036,6
7257,Reservoir-Compressor,Reservoir,Compressor,is part of,0.9995859265327454,1
2355,Electric vehicle-Brake,Electric vehicle,Brake,consists of,0.999583065509796,3
10905,Vehicle-Ratchet (device),Ratchet (device),Vehicle,is part of,0.9995818734169006,1
2357,Electric vehicle-Electric generator,Electric vehicle,Electric generator,consists of,0.9995748400688172,1
4717,Locomotive-Air pump,Locomotive,Air pump,consists of,0.9995729327201844,1
883,British Westinghouse-Brake,Brake,British Westinghouse,is part of,0.9995692372322084,2
10469,Valve-Locomotive,Locomotive,Valve,consists of,0.9995681643486024,2
465,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9995681643486024,6
10743,Vehicle-Brake,Vehicle,Brake,consists of,0.9995643496513368,2
10401,Valve-Compressor,Valve,Compressor,is part of,0.9995632767677308,1
4831,Locomotive-Exhibitionism,Locomotive,Exhibitionism,consists of,0.9995627999305724,1
11998,Wheel-Rim (wheel),Rim (wheel),Wheel,interacts with,0.999561607837677,6
464,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9995600581169128,2
920,Calipers-Brake,Calipers,Brake,is part of,0.9995577931404114,6
4814,Locomotive-Dynamic braking,Dynamic braking,Locomotive,is part of,0.999557077884674,3
9681,Train-Reservoir,Reservoir,Train,is part of,0.9995550513267516,1
702,Brake-Bicycle,Bicycle,Brake,consists of,0.9995542168617249,6
10682,Vehicle-Brake,Brake,Vehicle,is part of,0.9995538592338562,2
9498,Train-Brake,Brake,Train,is part of,0.9995505213737488,2
8342,Steam locomotive-Brake,Brake,Steam locomotive,is part of,0.9995490908622742,1
10558,Valve-Train,Train,Valve,consists of,0.9995445609092712,1
321,Brake pad-Brake,Brake,Brake pad,consists of,0.999541997909546,6
1439,Crankshaft-Bicycle frame,Crankshaft,Bicycle frame,interacts with,0.9995355606079102,6
5530,Mountain bike-Brake,Brake,Mountain bike,is part of,0.999534010887146,6
10380,Valve-Brake,Valve,Brake,is part of,0.9995325803756714,1
4716,Locomotive-Air pump,Air pump,Locomotive,is part of,0.9995299577713012,1
7831,Sensor-Computer,Sensor,Computer,is part of,0.9995274543762208,2
3791,Hybrid electric vehicle-Electric generator,Electric generator,Hybrid electric vehicle,is part of,0.9995267391204834,1
7014,Railway brake-Brake shoe,Brake shoe,Railway brake,is part of,0.9995248317718506,2
472,Brake shoe-Brake lining,Brake lining,Brake shoe,is related with,0.999523401260376,1
9551,Train-Brake,Train,Brake,consists of,0.9995180368423462,2
10445,Valve-Honda,Valve,Honda,is part of,0.9995177984237672,1
1438,Crankshaft-Bicycle frame,Bicycle frame,Crankshaft,interacts with,0.9995173215866088,6
5481,Motorcycle-Brake,Brake,Motorcycle,is part of,0.9995158910751344,3
10161,Vacuum pump-Diesel locomotive,Diesel locomotive,Vacuum pump,consists of,0.999515414237976,2
5513,Motorcycle-Master cylinder,Master cylinder,Motorcycle,is part of,0.9995152950286864,1
4722,Locomotive-Bell,Bell,Locomotive,is part of,0.9995125532150269,1
7526,Roller coaster-Brake,Roller coaster,Brake,consists of,0.999510645866394,2
10557,Valve-Train,Train,Valve,consists of,0.9995100498199464,1
5525,Motor–generator-Hybrid electric vehicle,Hybrid electric vehicle,Motor–generator,consists of,0.9995089769363404,1
10163,Vacuum pump-Electric locomotive,Electric locomotive,Vacuum pump,consists of,0.9995083808898926,2
8174,Spoon (band)-Cable television,Cable television,Spoon (band),is part of,0.9995068311691284,6
7829,Sensor-Computer,Computer,Sensor,consists of,0.9995055198669434,2
4635,Lever-Electric motor,Lever,Electric motor,is part of,0.9995051622390748,1
4757,Locomotive-Brake,Brake,Locomotive,is part of,0.9995050430297852,2
10167,Vacuum pump-Rail transport,Rail transport,Vacuum pump,consists of,0.9995046854019164,2
368,Brake pad-Brake,Brake pad,Brake,is part of,0.9995042085647584,3
701,Brake-Bicycle,Bicycle,Brake,consists of,0.9995036125183104,6
1033,Car-Brake,Car,Brake,consists of,0.999502420425415,1
6633,Proximity sensor-Brake run,Brake run,Proximity sensor,consists of,0.9995019435882568,2
7818,Sensor-Car,Sensor,Car,is part of,0.9995002746582032,2
4878,Machine-Armature (electrical),Armature (electrical),Machine,is part of,0.9994983673095704,1
10972,Vehicle-Valve,Vehicle,Valve,consists of,0.99949312210083,2
475,Brake shoe-Brake lining,Brake shoe,Brake lining,is related with,0.999492883682251,1
10604,Vehicle-Asbestos,Vehicle,Asbestos,consists of,0.9994900226593018,2
10867,Vehicle-Master cylinder,Vehicle,Master cylinder,consists of,0.9994834661483764,2
10468,Valve-Locomotive,Locomotive,Valve,consists of,0.9994820952415466,1
8327,Steam engine-Air compressor,Air compressor,Steam engine,is part of,0.9994762539863586,1
7255,Reservoir-Compressor,Compressor,Reservoir,consists of,0.9994751811027528,1
10603,Vehicle-Asbestos,Asbestos,Vehicle,is part of,0.9994729161262512,2
10799,Vehicle-Electromagnet,Electromagnet,Vehicle,is part of,0.9994686245918274,2
463,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9994649291038512,2
7249,Reservoir-Citroën Xantia,Reservoir,Citroën Xantia,is part of,0.9994646906852722,2
10959,Vehicle-Train,Train,Vehicle,consists of,0.9994638562202454,2
9685,Train-Reservoir,Train,Reservoir,consists of,0.999458372592926,2
10899,Vehicle-Pump,Pump,Vehicle,is part of,0.9994582533836364,1
8165,Spline (mechanical)-Shimano,Spline (mechanical),Shimano,is part of,0.9994537234306335,6
7331,Resistor-Diesel–electric transmission,Diesel–electric transmission,Resistor,consists of,0.9994528889656068,1
1105,Ceramic-Brake,Brake,Ceramic,consists of,0.9994500279426576,6
6682,Pump-Locomotive,Pump,Locomotive,is part of,0.9994472861289978,1
10751,Vehicle-Brake pad,Brake pad,Vehicle,is part of,0.9994457364082336,3
1362,Concept car-Brake,Brake,Concept car,is part of,0.999430239200592,3
10824,Vehicle-Forward (association football),Forward (association football),Vehicle,is part of,0.9994294047355652,1
5023,Magnetic field-Field coil,Magnetic field,Field coil,is part of,0.9994282126426696,3
5993,Piston-Bogie,Bogie,Piston,consists of,0.9994275569915771,1
4713,Locomotive-Air compressor,Locomotive,Air compressor,consists of,0.9994256496429444,2
10379,Valve-Brake,Valve,Brake,is part of,0.999422550201416,1
7332,Resistor-Diesel–electric transmission,Resistor,Diesel–electric transmission,is part of,0.9994224309921264,1
1009,Car-Brake,Brake,Car,is part of,0.9994180202484132,1
10475,Valve-Locomotive,Valve,Locomotive,is part of,0.9994165897369384,1
10563,Valve-Train,Valve,Train,is part of,0.9994163513183594,1
7852,Sensor-Light truck,Light truck,Sensor,consists of,0.9994148015975952,1
5532,Mountain bike-Brake,Mountain bike,Brake,consists of,0.999414324760437,6
4427,Landaulet (car)-Brake,Brake,Landaulet (car),is part of,0.9994125366210938,3
367,Brake pad-Brake,Brake pad,Brake,is part of,0.9994105100631714,6
8910,Tire-Brake,Brake,Tire,interacts with,0.9994072914123536,6
2283,Electric current-Brake,Electric current,Brake,is part of,0.9994059801101683,3
7483,Robert Bosch GmbH-Brake,Brake,Robert Bosch GmbH,is part of,0.9994029998779296,1
6738,Radius rod-Bicycle,Radius rod,Bicycle,is part of,0.9994001388549804,6
462,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9993995428085328,2
10922,Vehicle-Sensor,Sensor,Vehicle,is part of,0.9993834495544434,1
9497,Train-Brake,Brake,Train,is part of,0.9993798732757568,2
86,Bicycle handlebar-Bicycle fork,Bicycle handlebar,Bicycle fork,interacts with,0.9993788003921508,6
7421,Rim (wheel)-Brake,Rim (wheel),Brake,interacts with,0.9993788003921508,6
144,Brake fluid-Anti-lock braking system,Brake fluid,Anti-lock braking system,is part of,0.9993733763694764,5
10907,Vehicle-Ratchet (device),Vehicle,Ratchet (device),consists of,0.9993731379508972,1
9401,Trailer (vehicle)-Electric current,Electric current,Trailer (vehicle),is part of,0.9993699193000792,2
8923,Tire-Brake,Tire,Brake,interacts with,0.9993695616722108,6
4548,Lever-Brake,Brake,Lever,consists of,0.9993680119514464,1
9550,Train-Brake,Train,Brake,consists of,0.9993656277656556,2
11667,Wheel-Brake,Brake,Wheel,interacts with,0.9993646740913392,3
9496,Train-Brake,Brake,Train,is part of,0.9993630051612854,2
461,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9993627667427064,2
1035,Car-Brake fluid,Car,Brake fluid,consists of,0.99936181306839,5
10525,Valve-Rail transport,Rail transport,Valve,consists of,0.9993589520454408,1
8983,Tire-Rim (wheel),Rim (wheel),Tire,interacts with,0.9993557333946228,6
8341,Steam locomotive-Brake,Brake,Steam locomotive,is part of,0.999351441860199,2
89,Bicycle pedal-Bicycle handlebar,Bicycle pedal,Bicycle handlebar,interacts with,0.9993500113487244,6
7523,Roller coaster-Brake,Brake,Roller coaster,is part of,0.9993494153022766,2
6135,Pneumatics-Adjustment handle,Adjustment handle,Pneumatics,is part of,0.9993487000465392,1
9495,Train-Brake,Brake,Train,is part of,0.9993483424186708,1
4587,Lever-Brake,Lever,Brake,is part of,0.9993477463722228,6
88,Bicycle pedal-Bicycle handlebar,Bicycle handlebar,Bicycle pedal,interacts with,0.999345600605011,6
143,Brake fluid-Anti-lock braking system,Brake fluid,Anti-lock braking system,is part of,0.999344527721405,5
273,Brake pad-Bicycle,Bicycle,Brake pad,consists of,0.9993416666984558,6
7710,Screw-Brake,Screw,Brake,is part of,0.9993404746055604,1
10967,Vehicle-Valve,Valve,Vehicle,is part of,0.9993396401405334,1
10750,Vehicle-Brake pad,Brake pad,Vehicle,is part of,0.9993383288383484,2
7323,Resistor-Air cooling,Air cooling,Resistor,is related with,0.9993378520011902,3
4595,Lever-Bus,Lever,Bus,is part of,0.999337375164032,1
460,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9993370175361632,2
10925,Vehicle-Sensor,Vehicle,Sensor,consists of,0.9993367791175842,1
3897,Hydraulic fluid-Bicycle,Bicycle,Hydraulic fluid,consists of,0.9993354678153992,5
4251,International Organization for Standardization-Brake,International Organization for Standardization,Brake,consists of,0.999334156513214,5
11597,Wheel-Bicycle pedal,Wheel,Bicycle pedal,interacts with,0.999333918094635,6
1484,Cylinder (engine)-Brake,Brake,Cylinder (engine),interacts with,0.9993333220481871,2
7853,Sensor-Light truck,Sensor,Light truck,is part of,0.9993320107460022,1
928,Cam-Brake,Cam,Brake,interacts with,0.999330759048462,6
9691,Train-Roller coaster elements,Train,Roller coaster elements,consists of,0.999326229095459,2
957,Cantilever-Cam,Cam,Cantilever,is part of,0.9993236064910888,6
2141,Dust-Car,Dust,Car,is part of,0.9993209838867188,2
85,Bicycle handlebar-Bicycle fork,Bicycle fork,Bicycle handlebar,interacts with,0.9993157386779784,6
8346,Steam locomotive-Brake,Steam locomotive,Brake,consists of,0.999314546585083,1
2683,Engine braking-Diesel engine,Engine braking,Diesel engine,is part of,0.9993139505386353,1
11408,Westinghouse Electric Corporation-Reservoir,Reservoir,Westinghouse Electric Corporation,is part of,0.9993103742599488,2
4110,Intercity Express-Brake,Brake,Intercity Express,is part of,0.9993057250976562,2
10783,Vehicle-Cylinder (engine),Vehicle,Cylinder (engine),consists of,0.9993054866790771,2
9995,United States Department of Transportation-International Organization for Standardization,United States Department of Transportation,International Organization for Standardization,is part of,0.9993045330047609,5
10322,Valve-Brake,Brake,Valve,consists of,0.9993032217025756,1
10749,Vehicle-Brake pad,Brake pad,Vehicle,is part of,0.9993016719818116,2
2082,Drum brake-Brake shoe,Drum brake,Brake shoe,consists of,0.9993000030517578,2
11407,Westinghouse Electric Corporation-Reservoir,Reservoir,Westinghouse Electric Corporation,is part of,0.9992997646331788,1
10393,Valve-Car,Car,Valve,consists of,0.9992974996566772,1
10400,Valve-Compressor,Compressor,Valve,consists of,0.999295711517334,1
6608,Propeller-Axle,Propeller,Axle,interacts with,0.9992954730987548,6
6862,Railway air brake-Aircraft,Aircraft,Railway air brake,consists of,0.9992948770523072,2
6607,Propeller-Axle,Axle,Propeller,interacts with,0.9992928504943848,6
9924,Truck-Sensor,Sensor,Truck,is part of,0.9992873072624208,1
7420,Rim (wheel)-Brake,Rim (wheel),Brake,interacts with,0.9992863535881042,6
956,Cantilever-Brake,Cantilever,Brake,interacts with,0.999284327030182,6
924,Cam-Brake,Brake,Cam,interacts with,0.9992814660072328,6
8328,Steam engine-Air compressor,Steam engine,Air compressor,consists of,0.9992790818214417,1
952,Cantilever-Brake,Brake,Cantilever,interacts with,0.999278485774994,6
1409,Cork (material)-Brake,Cork (material),Brake,is part of,0.9992757439613342,6
6094,Piston-Locomotive,Locomotive,Piston,consists of,0.9992745518684388,2
6863,Railway air brake-Aircraft,Railway air brake,Aircraft,is part of,0.9992703795433044,2
3155,Formula One-Cast iron,Cast iron,Formula One,is part of,0.9992697834968568,3
7280,Reservoir-Model year,Reservoir,Model year,is part of,0.9992688298225404,2
4374,Kinetic energy recovery system-Jules Bianchi,Kinetic energy recovery system,Jules Bianchi,is part of,0.999267041683197,3
459,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9992647767066956,2
9638,Train-Lever,Lever,Train,is part of,0.9992634654045104,1
7416,Rim (wheel)-Brake,Brake,Rim (wheel),interacts with,0.999262273311615,6
7415,Rim (wheel)-Brake,Brake,Rim (wheel),interacts with,0.9992607235908508,6
7482,Robert Bosch GmbH-Brake,Brake,Robert Bosch GmbH,is part of,0.9992601275444032,1
6634,Proximity sensor-Brake run,Proximity sensor,Brake run,is part of,0.9992584586143494,2
6095,Piston-Locomotive,Piston,Locomotive,is part of,0.9992571473121644,2
9549,Train-Brake,Train,Brake,consists of,0.9992501139640808,2
3465,Gastropod shell-Brake,Gastropod shell,Brake,interacts with,0.9992464780807496,6
226,Brake fluid-Brake,Brake fluid,Brake,is part of,0.9992458820343018,5
10395,Valve-Car,Valve,Car,is part of,0.9992434978485109,1
9925,Truck-Sensor,Truck,Sensor,consists of,0.9992411136627196,1
7242,Reservoir-Car,Car,Reservoir,consists of,0.9992386102676392,2
366,Brake pad-Brake,Brake pad,Brake,is part of,0.9992386102676392,2
3867,Hydraulic brake-Brake fluid,Brake fluid,Hydraulic brake,is part of,0.999238133430481,1
11735,Wheel-Brake,Wheel,Brake,interacts with,0.9992377758026124,3
10782,Vehicle-Cylinder (engine),Cylinder (engine),Vehicle,is part of,0.9992333650588988,2
365,Brake pad-Brake,Brake pad,Brake,is part of,0.999222993850708,3
11414,Westinghouse Electric Corporation-Valve,Valve,Westinghouse Electric Corporation,is part of,0.9992222785949708,1
5827,Parking brake-Brake shoe,Brake shoe,Parking brake,is part of,0.9992221593856812,1
9402,Trailer (vehicle)-Electric current,Trailer (vehicle),Electric current,consists of,0.9992194175720216,2
9548,Train-Brake,Train,Brake,consists of,0.9992189407348632,1
8870,Tie rod-Rail transport,Tie rod,Rail transport,is part of,0.9992167949676514,1
8984,Tire-Rim (wheel),Tire,Rim (wheel),interacts with,0.99921452999115,6
4634,Lever-Electric motor,Electric motor,Lever,consists of,0.9992104768753052,1
458,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9992094039916992,2
364,Brake pad-Brake,Brake pad,Brake,is part of,0.9992082715034484,6
9407,Trailer (vehicle)-Electromagnet,Electromagnet,Trailer (vehicle),is part of,0.9992048144340516,2
7237,Reservoir-Brake,Reservoir,Brake,is part of,0.9991994500160216,2
5195,Master cylinder-Car,Car,Master cylinder,consists of,0.9991990923881532,1
2904,Fixed-gear bicycle-Brake,Fixed-gear bicycle,Brake,consists of,0.9991959929466248,6
9994,United States Department of Transportation-International Organization for Standardization,International Organization for Standardization,United States Department of Transportation,consists of,0.999194324016571,5
4547,Lever-Brake,Brake,Lever,consists of,0.9991925358772278,6
11875,Wheel-Fusible plug,Fusible plug,Wheel,is part of,0.999189555644989,3
7522,Roller coaster-Brake,Brake,Roller coaster,is part of,0.9991894364356996,2
7324,Resistor-Air cooling,Resistor,Air cooling,is related with,0.9991807341575624,3
9921,Truck-Pressure sensor,Truck,Pressure sensor,consists of,0.9991797804832458,1
10681,Vehicle-Brake,Brake,Vehicle,is part of,0.9991753697395324,1
10392,Valve-Car,Car,Valve,consists of,0.9991740584373474,1
4594,Lever-Bus,Bus,Lever,consists of,0.99917334318161,1
363,Brake pad-Brake,Brake pad,Brake,is part of,0.9991732239723206,3
362,Brake pad-Brake,Brake pad,Brake,is part of,0.9991726279258728,6
225,Brake fluid-Brake,Brake fluid,Brake,is part of,0.9991693496704102,5
6831,Railroad car-Brake,Brake,Railroad car,is part of,0.9991658926010132,1
11596,Wheel-Bicycle pedal,Bicycle pedal,Wheel,interacts with,0.9991517066955566,6
9758,Transmission (mechanics)-Brake,Brake,Transmission (mechanics),interacts with,0.9991506338119508,1
1190,Clutch-Axle,Clutch,Axle,interacts with,0.99914288520813,6
10482,Valve-Parking brake,Valve,Parking brake,is part of,0.9991424083709716,1
3464,Gastropod shell-Brake,Brake,Gastropod shell,interacts with,0.9991361498832704,6
10756,Vehicle-Brake pad,Vehicle,Brake pad,consists of,0.999134600162506,3
1502,Cylinder (engine)-Brake,Cylinder (engine),Brake,interacts with,0.9991219639778136,2
7236,Reservoir-Brake,Reservoir,Brake,is part of,0.9991217255592346,2
1327,Compressor-Compressed air dryer,Compressed air dryer,Compressor,is part of,0.9991212487220764,1
8909,Tire-Brake,Brake,Tire,interacts with,0.9991198182106018,6
4546,Lever-Brake,Brake,Lever,consists of,0.9991169571876526,6
457,Brake shoe-Brake,Brake shoe,Brake,is part of,0.999116837978363,6
456,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9991164803504944,2
455,Brake shoe-Brake,Brake shoe,Brake,is part of,0.9991140961647034,2
6754,Rail transport-Brake,Brake,Rail transport,is part of,0.999111831188202,1
7525,Roller coaster-Brake,Roller coaster,Brake,consists of,0.9991113543510436,2
5490,Motorcycle-Brake,Motorcycle,Brake,consists of,0.9991105198860168,3
